code;name
8BN;Mercedes-Benz incomplete vehicle (North America)
8BR;Mercedes-Benz "bus" (van with more than 3 rows of seats) (North America)
8BT;Mercedes-Benz MPV (van with 2 or 3 rows of seats) (North America)
8BU;Mercedes-Benz truck (cargo van with 1 row of seats) (North America)
8CH;Honda motorcycle
8C3;Honda car/SUV
8G1;Automotores Franco Chilena S.A. Renault
8GD;Automotores Franco Chilena S.A. Peugeot
8GG;[[../GM/VIN Codes|Chevrolet]] Chile
8LD;General Motors OBB - Chevrolet Ecuador
8LF;Maresa (Mazda)
8LG;Aymesa (Hyundai Motor & Kia)
8L4;Great Wall Motors made by Ciudad del Auto (Ciauto)
8XD;Ford Motor Venezuela
8XJ;Mack de Venezuela C.A.
8XV;Iveco Venezuela C.A.
8Z1;General Motors Venezolana C.A.
829;Industrias Quantum Motors S.A. (Bolivia)
9BD;Fiat Brazil
9BF;[[../Ford/VIN Codes|Ford]] Brazil
9BG;[[../GM/VIN Codes|Chevrolet]] Brazil
9BH;Hyundai Motor Brasil
9BM;Mercedes-Benz Brazil car & SUV & commercial truck
9BN;Mafersa
9BR;[[../Toyota/VIN Codes|Toyota]] Brazil
9BS;Scania Brazil
9BV;Volvo Trucks
9BW;Volkswagen Brazil
9BY;Agrale S.A.
9C2;Moto Honda Da Amazonia Ltda.
9C6;Yamaha Motor Da Amazonia Ltda.
9CD;Suzuki (motorcycles) assembled by J. Toledo Motos do Brasil
9DF;Puma
9DW;Kenworth & Peterbilt trucks made by Volkswagen do Brasil
92H;Origem Brazil
932;Harley-Davidson Brazil
935;Citroën Brazil
936;Peugeot Brazil
937;Dodge
93C;Chevrolet SUV [Tracker] or pickup [Montana] (sold in Mexico, made in Brazil)
93H;[[../Honda/VIN Codes|Honda]] Brazil car/SUV
93K;Volvo Trucks
93P;Volare
93S;Navistar International
93R;[[../Toyota/VIN Codes|Toyota]] Brazil
93U;Audi Brazil 1999–2006
93W;Fiat Ducato made by Iveco 2000–2016
93V;Navistar International
93X;Souza Ramos – Mitsubishi Motors / Suzuki Jimny
93Y;Renault Brazil
93Z;Iveco
94D;Nissan Brazil
94N;RWM Brazil
94T;Troller Veículos Especiais
95P;CAOA Hyundai & CAOA Chery
95V;Dafra Motos (motorscooters from SYM) & Ducati, KTM, & MV Agusta assembled by Dafra
95V;BMW motorcycles assembled by Dafra Motos 2009–2016
95Z;Buell Motorcycle Company assembled by Harley-Davidson Brazil
953;VW Truck & Bus / MAN Truck & Bus
96P;Kawasaki
97N;Triumph Motorcycles Ltd.
988;Jeep and Fiat (made at the Goiana plant)
98M;BMW car/SUV
98P;DAF Trucks
98R;Chery
99A;Audi 2016-
99H;Shineray
99J;Jaguar Land Rover
99K;Haojue & Kymco assembled by JTZ Indústria e Comércio de Motos
99L;BYD
99Z;BMW Motorrad (Motorcycle assembled by BMW 2017-)
9FB;Renault Colombia (Sofasa)
9FC;Compañía Colombiana Automotriz S.A. (Mazda)
9GA;[[../GM/VIN Codes|Chevrolet]] Colombia (GM Colmotores S.A.)
9UJ;Chery assembled by Chery Socma S.A. (Uruguay)
9UK;Lifan (Uruguay)
9UT;Dongfeng trucks made by Nordex S.A.
9UW;Kia made by Nordex S.A.
9VC;Fiat made by Nordex S.A. (Scudo)
9V7;Citroen made by Nordex S.A. (Jumpy)
9V8;Peugeot made by Nordex S.A. (Expert)
